Priority,Group,Company,Title,Location,System Score,Resume Match %,Matching Skills,Search Terms,Gaps / Missing,Date Posted,Indeed URL,Company Board URL,Status,Referral Contact,Date Applied,Interview Date,Offer LPA,Notes
⚡ P2 - Apply This Week,Pune/Remote,Zendesk,Staff Machine Learning Engineer,"MH, IN",83.5,59,"inference, llm, ml, python",ML Platform Engineer | GenAI,,1773273600000,https://in.indeed.com/viewjob?jk=71b87be51ba2a408,https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/job/Pune-India/Staff-Machine-Learning-Engineer_R34226,,,,,,Staff = borderline 7YOE — apply if JD doesn't say 8+ yr exp.
⚡ P2 - Apply This Week,Pune/Remote,Citi,"Generative AI Software Senior Engineer, Technology Strategy","MH, IN",82.0,55,"genai, llm, python, rag",Generative AI | LLMOps,"banking domain, compliance",1773619200000,https://in.indeed.com/viewjob?jk=54975804036d13a4,https://jobs.citi.com/job/-/-/287/92836691424,,,,,,SVP = IC band at Citi (not management).
⚡ P2 - Apply This Week,Bangalore,Microsoft,Senior Applied Scientist,"KA, IN",81.6,51,"llm, ml, openai, python, ranking",AI Engineer | GenAI,"ads domain, experimentation, scala",1773619200000,https://in.indeed.com/viewjob?jk=faa0f66ba1b272cb,https://apply.careers.microsoft.com/careers/job/1970393556849341,,,,,,Applied Scientist at MS Ads — ML-heavy.
⚡ P2 - Apply This Week,Bangalore,Red Hat,Senior Software Engineer - Agentic AI & Orchestration,"KA, IN",80.4,64,"agentic, docker, golang, kubernetes, python",Agentic AI | AI Infrastructure,go/golang deep expertise,1773360000000,https://in.indeed.com/viewjob?jk=96e3b19ecee03681,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Bangalore---Carina/Senior-Software-Engineer-Agentic-AI---Orchestration--Golang-Python-Cloud-Kubernetes_R-055966-1,,,,,,Golang + Python + k8s — strong IC agentic role.
📋 P3 - Low Priority,Pune/Remote,Wolters Kluwer,"Enterprise Cloud Software Engineer (CloudOps Engineer, AI Engineering)","MH, IN",81.1,62,"aws, azure, ci/cd, kubernetes, python",AI Infrastructure | MLOps,azure focus,1773187200000,https://in.indeed.com/viewjob?jk=35cbe5eb0daf418e,https://wk.wd3.myworkdayjobs.com/en-US/External/job/IND---Pune-Kalyani-Nagar/Enterprise-Cloud-Software-Engineer--CloudOps-Engineer--AI-Engineering-_R0054687,,,,,,Tier B backup.
🔥 P1 - Apply Today,Pune/Remote,Priceline,ML Engineer,"mumbai, maharashtra",85.0,73,"llm, ml, mlops, python",ML Platform Engineer | MLOps,,1771565400000,https://www.linkedin.com/jobs/view/4344372883,https://priceline.wd1.myworkdayjobs.com/en-US/Priceline/job/Mumbai/ML-Ops-Engineer_R5381,,,,,,
🔥 P1 - Apply Today,Bangalore,ServiceNow,Senior Software Engineer - Moveworks,"KA, IN",84.3,67,"ai platform, llm, python",AI Platform Engineer | GenAI,servicenow platform,1771911000000,,https://jobs.smartrecruiters.com/ServiceNow/744000111020766-senior-software-engineer-moveworks,,,,,,Moveworks = enterprise AI assistant team (acquired by ServiceNow)
⚡ P2 - Apply This Week,Bangalore,Barclays,Gen AI and ML Engineer,"KA, IN",83.5,73,"genai, llm, ml, python",GenAI | ML Engineer,banking domain,1770269400000,,https://search.jobs.barclays/job/-/-/13015/91410963360,,,,,,
⚡ P2 - Apply This Week,Bangalore,Barclays,Lead Engineer - Applied AI,"KA, IN",83.1,70,"ai platform, llm, python",AI Engineer | Applied AI,banking domain,1769664600000,,https://search.jobs.barclays/job/-/-/13015/91154755904,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,NielsenIQ,MLOps Engineer,"MH, IN",81.8,73,"ci/cd, kubernetes, mlops, python",MLOps Engineer,,1768455000000,,https://jobs.smartrecruiters.com/NielsenIQ/744000103619657-mlops-engineer,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,NielsenIQ,Software Engineer - GenAI Developer,"MH, IN",80.5,67,"genai, llm, python",GenAI Engineer,,1770355800000,,https://jobs.smartrecruiters.com/NielsenIQ/744000107672430-software-engineer-genai-developer,,,,,,
⚡ P2 - Apply This Week,Bangalore,ServiceNow,Sr Software Engineer,"KA, IN",80.5,67,"ci/cd, kubernetes, python",AI Platform Engineer,servicenow platform,1770269400000,,https://jobs.smartrecruiters.com/ServiceNow/744000107477704-sr-software-engineer,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,Barclays,AI Lead Engineer,"MH, IN",80.4,60,"ai platform, llm, python",AI Engineer,banking domain,1771911000000,,https://search.jobs.barclays/job/-/-/13015/92088861632,,,,,,
⚡ P2 - Apply This Week,Bangalore,Barclays,Engineer - Applied AI,"KA, IN",79.8,66,"ai platform, llm, python",AI Engineer,banking domain,1769664600000,,https://search.jobs.barclays/job/-/-/13015/91154755568,,,,,,
⚡ P2 - Apply This Week,Bangalore,CrowdStrike,Sr. ML Platform Engineer,"KA, IN",79.6,61,"ci/cd, kubernetes, ml, mlops, python",ML Platform Engineer,security domain,1771997400000,,https://crowdstrike.wd5.myworkdayjobs.com/en-US/crowdstrikecareers/job/India---Bangalore/Sr-ML-Platform-Engineer--Hybrid--IND-_R27517,,,,,,
⚡ P2 - Apply This Week,Bangalore,Goldman Sachs,AI/ML Engineer - Neon Platform (Associate),"KA, IN",79.4,64,"llm, ml, python",AI Platform Engineer | ML Engineer,compliance domain,1770960600000,,https://higher.gs.com/roles/161803,,,,,,"Associate = GS IC band, suitable for 7 YOE"
⚡ P2 - Apply This Week,Bangalore,Atlassian,Machine Learning Software Engineer,"bengaluru, karnataka",77.2,62,"llm, ml, python",ML Engineer | AI Engineer,,1771479000000,https://www.linkedin.com/jobs/view/4375140149,,,,,,,
📋 P3 - Low Priority,Pune/Remote,Barclays,AI Engineering Lead - VP,"MH, IN",85.1,69,"ai platform, llm, python",AI Engineer | AI Platform Engineer,"banking domain, may need 8+ YOE",1771911000000,,https://search.jobs.barclays/job/-/-/13015/92078236624,,,,,,VP = IC band at Barclays but Lead-VP may need 8-10 YOE
📋 P3 - Low Priority,Remote,OpenAI,AI Deployment Engineer - Startups,"Remote, IN",72.9,60,"llm, python",AI Engineer | Forward Deployed Engineer,customer-facing / startup support role,1761283800000,,https://openai.com/careers/ai-deployment-engineer-startups-india-remote/,,,,,,Customer-facing role at OpenAI — strong brand but not pure IC engineering
